경기장명,시설명,건축연면적(㎡),시설면적(㎡),용도,수용인원(명),경기장 규격,데이터기준일자
제주종합경기장,주경기장,30327,38273,축구·육상(제1종경기장),16387,105×68m. 400×8레인,2018-09-30
제주종합경기장,애향운동장,21662,1145,축구·육상,6500,105×68m. 400×6레인,2018-09-30
제주종합경기장,야구장,27058,11484,야구,8516,센터 : 123. 1.3루 : 100,2018-09-30
제주종합경기장,한라체육관,5858,8053,농구·배구·배드민턴·핸드볼,5400,50×34×12.5,2018-09-30
제주종합경기장,종합경기장실내수영장,6064,9024,수영·다이빙,2500,다이빙:25×21×5H. 경영풀:50×8레인,2018-09-30
제주종합경기장,연정정구장,9235,2011,테니스·정구,2000,24×12 (10면),2018-09-30
제주종합경기장,한라씨름장,1950,1016,씨름,600,원형모래판 ￠9m,2018-09-30
제주종합경기장,복합체육관,4983,9914,게이트볼·배드민턴·스퀘시·체력단련장,1500,12코트 H=12m. 게이트볼장(10면),2018-09-30
제주종합경기장,체육회관,4426,7467,스쿼시,1000, -,2018-09-30
제주종합경기장,유도연습장,1210,957,유도,150,22m×36m,2018-09-30
제주종합경기장,야외족구장,608, -,족구,100,35m×18m,2018-09-30
제주종합경기장,야외농구장,280, -,농구,50,21m×17m,2018-09-30
제주종합경기장,인라인스케이트장,1000, -,인라인스케이트,100,20×50m ,2018-09-30
제주종합경기장,다이빙지상훈련장,1225,1317,다이빙연습장,100,체조마루 1개. 드라이보드 7개,2018-09-30
제주종합경기장,인공암벽,1273,614,인공암벽,100,난이도벽 4개. 스피트월 1개,2018-09-30
제주종합경기장,전천후육상경기장, - ,3940,실내육상경기장,100,100m×6레인. 넓이뛰기.투포환,2018-09-30
제주종합경기장,기타(도로·광장·녹지 등),104459, -,주차장,20000, -,2018-09-30
제주국민체육센터,성인수영장(풀장),3735,325,수영, - ,25m×13m. 6레인. 수심 1.5m～1.4m,2018-09-30
제주국민체육센터,어린이수영장(풀장),3735,69.6,수영, - ,12m×5.8m. 수심 0.8m,2018-09-30
제주국민체육센터,다목적 체육관,3735,657.6,배드민턴·농구, - ,배드민턴 4코트. 농구 1코트,2018-09-30
제주국민체육센터,체력단련장,3735,125.8,헬스, - ,런닝머신외 29종,2018-09-30
제주국민체육센터,상설스포츠교실,3735,125.8,에어로빅·요가, - , - ,2018-09-30
제주국민체육센터,조깅트랙,3735,277.3,걷기운동·줄넘기, - ,조깅트랙 90m,2018-09-30
애월국민체육센터,수영장(풀장) 성인용, - ,225,수영, - ,25m×9m. 4레인. 수심 1.25~1.4m,2018-09-30
애월국민체육센터,수영장(풀장) 장애인용, - ,150,수영, - ,25m×6m. 2레인. 수심 1.25m~1.4m,2018-09-30
애월국민체육센터,수영장(풀장) 유아용, - ,30,수영, - ,6.8m×4.5m. 수심 0.6m,2018-09-30
애월국민체육센터,수영장(풀장) 유아용, - ,15,수영, - ,7.5m×2m. 수심 0.6m,2018-09-30
애월국민체육센터,수영장(풀장) 스파탕(온탕), - ,8.75,수영, - ,3.5m×2.5m,2018-09-30
애월국민체육센터,헬스장, - ,170,헬스, - ,10m×17m,2018-09-30
